"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAPOWER","EQ","15-Mar-2021","        113.25","        114.00","        114.15","        108.00","        111.35","        111.55","        110.70","  101456890","         11231459954.40","     301043","   14962755","         14.75"
"TATAPOWER","EQ","16-Mar-2021","        111.55","        112.00","        112.30","        109.10","        109.55","        109.70","        110.42","   50275101","          5551268031.00","     124379","    7103437","         14.13"
"TATAPOWER","EQ","17-Mar-2021","        109.70","        109.20","        110.50","        102.40","        102.85","        103.30","        106.44","   64241698","          6838147042.90","     199480","   12742191","         19.83"
"TATAPOWER","EQ","18-Mar-2021","        103.30","        104.60","        106.60","         96.00","        100.85","        100.55","        102.08","  102669579","         10480062152.90","     252227","   14234618","         13.86"
"TATAPOWER","EQ","19-Mar-2021","        100.55","        100.00","        104.75","         96.30","        104.20","        104.15","        100.89","  118996777","         12005902619.80","     285860","   21057188","         17.70"
"TATAPOWER","EQ","22-Mar-2021","        104.15","        104.90","        106.50","        103.80","        104.70","        104.75","        105.22","   74913152","          7882728562.30","     185725","   11724602","         15.65"
"TATAPOWER","EQ","23-Mar-2021","        104.75","        104.95","        105.95","        104.00","        104.50","        104.55","        105.03","   41887531","          4399256751.10","     105226","    7834509","         18.70"
"TATAPOWER","EQ","24-Mar-2021","        104.55","        103.00","        105.60","        100.85","        101.40","        101.25","        103.44","   49603176","          5131094204.05","     134071","    7049408","         14.21"
"TATAPOWER","EQ","25-Mar-2021","        101.25","        101.80","        102.20","         96.60","         98.95","         98.65","         99.00","   78179436","          7739518805.80","     208054","   11966844","         15.31"
"TATAPOWER","EQ","26-Mar-2021","         98.65","        100.95","        104.35","        100.00","        103.75","        103.45","        102.39","   78988471","          8087313766.55","     173325","   13830621","         17.51"
"TATAPOWER","EQ","30-Mar-2021","        103.45","        105.35","        105.35","        102.80","        103.65","        103.60","        103.99","   47453372","          4934778701.55","     114216","    8082364","         17.03"
"TATAPOWER","EQ","31-Mar-2021","        103.60","        103.65","        105.85","        102.85","        103.00","        103.25","        104.31","   35702981","          3724236673.00","      93061","    4933194","         13.82"
