"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPOWER","EQ","11-May-2021","         98.50","         97.95","        101.00","         97.35","         98.80","         99.00","         99.51","   13877015","          1380963903.50","      52467","    6856163","         49.41"
"ADANIPOWER","EQ","12-May-2021","         99.00","         99.95","        100.80","         97.00","         97.20","         97.45","         98.54","    9154563","           902074204.50","      33053","    5684562","         62.10"
"ADANIPOWER","EQ","14-May-2021","         97.45","         98.40","         98.40","         94.00","         95.95","         95.80","         96.76","   11732901","          1135243862.10","      37711","    6154249","         52.45"
"ADANIPOWER","EQ","17-May-2021","         95.80","         96.30","         98.40","         96.25","         97.05","         97.05","         97.45","    7355491","           716772016.45","      28448","    3707910","         50.41"
"ADANIPOWER","EQ","18-May-2021","         97.05","         97.90","        101.90","         97.10","        101.90","        101.90","         99.78","   24442247","          2438952652.85","      58865","   11867720","         48.55"
"ADANIPOWER","EQ","19-May-2021","        101.90","        103.70","        106.95","        101.30","        103.20","        102.40","        105.14","   39269687","          4128916634.65","     131486","   12963243","         33.01"
"ADANIPOWER","EQ","20-May-2021","        102.40","        103.00","        103.95","         98.95","        100.00","        100.10","        100.83","   19130202","          1928925245.10","      57775","    8522911","         44.55"
"ADANIPOWER","EQ","21-May-2021","        100.10","        101.00","        102.75","        100.50","        101.05","        101.10","        101.34","   12929388","          1310209340.05","      42520","    7557558","         58.45"
"ADANIPOWER","EQ","24-May-2021","        101.10","        101.70","        103.00","        101.00","        101.10","        101.05","        101.49","    9135891","           927161446.05","      38658","    5268517","         57.67"
"ADANIPOWER","EQ","25-May-2021","        101.05","        102.00","        102.50","        100.00","        100.55","        100.40","        101.49","    8580609","           870877100.10","      37114","    4219101","         49.17"
"ADANIPOWER","EQ","26-May-2021","        100.40","        101.25","        101.35","         99.05","         99.35","         99.25","        100.07","    6353977","           635822912.75","      37883","    3134040","         49.32"
"ADANIPOWER","EQ","27-May-2021","         99.25","        100.00","        100.00","         94.30","         95.50","         95.15","         95.43","   34549950","          3297167388.05","     125145","   13645148","         39.49"
"ADANIPOWER","EQ","28-May-2021","         95.15","         95.90","         97.00","         90.75","         92.30","         91.95","         93.02","   26184911","          2435816104.85","     122366","   13097493","         50.02"
"ADANIPOWER","EQ","31-May-2021","         91.95","         92.65","         94.25","         92.25","         92.55","         92.50","         93.21","    9824879","           915775111.60","      61871","    5244441","         53.38"
"ADANIPOWER","EQ","01-Jun-2021","         92.50","         94.00","         97.10","         91.80","         95.70","         95.35","         95.02","   31744300","          3016251767.00","     102759","   10574037","         33.31"
"ADANIPOWER","EQ","02-Jun-2021","         95.35","         95.95","         99.40","         95.50","         96.55","         96.40","         97.51","   30757739","          2999107740.65","     107061","   12685605","         41.24"
"ADANIPOWER","EQ","03-Jun-2021","         96.40","         97.50","        101.20","         97.00","        101.20","        100.75","         99.98","   50469406","          5045823231.25","     139435","   18472515","         36.60"
"ADANIPOWER","EQ","04-Jun-2021","        100.75","        101.40","        105.75","         99.35","        105.75","        105.75","        104.60","   56499148","          5909535165.75","     131722","   24432309","         43.24"
"ADANIPOWER","EQ","07-Jun-2021","        105.75","        112.55","        126.90","        111.25","        126.90","        126.90","        122.49","  115150200","         14104721145.45","     376499","   34803088","         30.22"
"ADANIPOWER","EQ","08-Jun-2021","        126.90","        134.00","        152.25","        131.60","        152.25","        151.75","        146.00","  221394940","         32324482978.45","     885215","   41064070","         18.55"
"ADANIPOWER","EQ","09-Jun-2021","        151.75","        156.00","        166.90","        138.50","        151.00","        152.35","        158.22","  192437396","         30447884016.65","     827286","   43368176","         22.54"
"ADANIPOWER","EQ","10-Jun-2021","        152.35","        157.35","        164.00","        153.00","        154.50","        154.10","        157.12","   57693663","          9064879984.20","     297557","   18785106","         32.56"
"ADANIPOWER","EQ","11-Jun-2021","        154.10","        159.00","        159.50","        147.00","        148.35","        148.30","        150.30","   34259683","          5149068232.60","     223080","   13300677","         38.82"
"ADANIPOWER","BE","14-Jun-2021","        148.30","        140.90","        140.90","        140.90","        140.90","        140.90","        140.90","    2129919","           300105587.10","      29502","-","-"
"ADANIPOWER","BE","15-Jun-2021","        140.90","        133.90","        138.00","        133.90","        133.90","        133.90","        134.04","    5925109","           794204276.60","      45686","-","-"
"ADANIPOWER","BE","16-Jun-2021","        133.90","        127.25","        127.25","        127.25","        127.25","        127.25","        127.25","     803896","           102295766.00","      13868","-","-"
"ADANIPOWER","BE","17-Jun-2021","        127.25","        120.90","        120.90","        120.90","        120.90","        120.90","        120.90","     619476","            74894648.40","      11485","-","-"
"ADANIPOWER","BE","18-Jun-2021","        120.90","        114.90","        114.90","        114.90","        114.90","        114.90","        114.90","    1711957","           196703859.30","      16136","-","-"
